date,time_of_day,hour,temperature,precipitation,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,temp_max_daily,temp_min_daily,precipitation_sum_daily,sunshine_duration_daily
2025-11-23,morning,6,25.3,0.0,,,,,26.0,14.8,0.0,33191.48
2025-11-23,midday,12,22.2,0.0,,,,,26.0,14.8,0.0,33191.48
2025-11-23,evening,18,16.5,0.0,,,,,26.0,14.8,0.0,33191.48
2025-11-24,morning,6,24.4,0.0,,,,,25.8,14.0,0.0,33192.72
2025-11-24,midday,12,21.7,0.0,,,,,25.8,14.0,0.0,33192.72
2025-11-24,evening,18,16.2,0.0,,,,,25.8,14.0,0.0,33192.72
2025-11-25,morning,6,23.7,0.0,,,,,25.0,12.8,0.0,33067.93
2025-11-25,midday,12,21.9,0.0,,,,,25.0,12.8,0.0,33067.93
2025-11-25,evening,18,16.5,0.0,,,,,25.0,12.8,0.0,33067.93
2025-11-26,morning,6,23.0,0.0,,,,,24.9,12.4,0.0,33069.64
2025-11-26,midday,12,21.9,0.0,,,,,24.9,12.4,0.0,33069.64
2025-11-26,evening,18,16.0,0.0,,,,,24.9,12.4,0.0,33069.64
2025-11-27,morning,6,24.0,0.0,,,,,25.9,13.6,0.0,32826.77
2025-11-27,midday,12,22.5,0.0,,,,,25.9,13.6,0.0,32826.77
2025-11-27,evening,18,16.5,0.0,,,,,25.9,13.6,0.0,32826.77
2025-11-28,morning,6,24.4,0.0,,,,,26.0,13.2,0.0,32951.07
2025-11-28,midday,12,22.8,0.0,,,,,26.0,13.2,0.0,32951.07
2025-11-28,evening,18,17.1,0.0,,,,,26.0,13.2,0.0,32951.07
2025-11-29,morning,6,24.2,0.0,,,,,26.2,13.1,0.0,32834.45
2025-11-29,midday,12,22.5,0.0,,,,,26.2,13.1,0.0,32834.45
2025-11-29,evening,18,17.8,0.0,,,,,26.2,13.1,0.0,32834.45
2025-11-30,morning,6,24.8,0.0,,,,,26.1,13.2,0.0,32721.01
2025-11-30,midday,12,22.5,0.0,,,,,26.1,13.2,0.0,32721.01
2025-11-30,evening,18,16.8,0.0,,,,,26.1,13.2,0.0,32721.01
2025-12-01,morning,6,23.8,0.0,,,,,25.2,12.5,0.0,32610.88
2025-12-01,midday,12,21.5,0.0,,,,,25.2,12.5,0.0,32610.88
2025-12-01,evening,18,15.9,0.0,,,,,25.2,12.5,0.0,32610.88
2025-12-02,morning,6,23.3,0.0,,,,,25.4,11.5,0.0,32841.77
2025-12-02,midday,12,22.0,0.0,,,,,25.4,11.5,0.0,32841.77
2025-12-02,evening,18,17.4,0.0,,,,,25.4,11.5,0.0,32841.77
2025-12-03,morning,6,24.6,0.0,,,,,26.1,12.4,0.0,32511.48
2025-12-03,midday,12,23.1,0.0,,,,,26.1,12.4,0.0,32511.48
2025-12-03,evening,18,17.1,0.0,,,,,26.1,12.4,0.0,32511.48
2025-12-04,morning,6,21.3,0.0,,,,,23.5,11.2,0.0,32735.25
2025-12-04,midday,12,20.2,0.0,,,,,23.5,11.2,0.0,32735.25
2025-12-04,evening,18,14.6,0.0,,,,,23.5,11.2,0.0,32735.25
2025-12-05,morning,6,21.1,0.0,,,,,23.4,10.8,0.0,32631.01
2025-12-05,midday,12,20.0,0.0,,,,,23.4,10.8,0.0,32631.01
2025-12-05,evening,18,14.4,0.0,,,,,23.4,10.8,0.0,32631.01
2025-12-06,morning,6,21.1,0.0,,,,,23.7,10.4,0.0,32530.39
2025-12-06,midday,12,20.4,0.0,,,,,23.7,10.4,0.0,32530.39
2025-12-06,evening,18,15.1,0.0,,,,,23.7,10.4,0.0,32530.39
2025-12-07,morning,6,21.1,0.0,,,,,24.2,12.1,0.0,32400.0
2025-12-07,midday,12,20.8,0.0,,,,,24.2,12.1,0.0,32400.0
2025-12-07,evening,18,15.2,0.0,,,,,24.2,12.1,0.0,32400.0
2025-12-08,morning,6,21.5,0.0,,,,,24.4,11.4,0.0,32440.32
2025-12-08,midday,12,21.0,0.0,,,,,24.4,11.4,0.0,32440.32
2025-12-08,evening,18,16.1,0.0,,,,,24.4,11.4,0.0,32440.32
2025-12-09,morning,6,21.8,0.0,,,,,24.7,11.9,0.0,32544.62
2025-12-09,midday,12,21.0,0.0,,,,,24.7,11.9,0.0,32544.62
2025-12-09,evening,18,15.4,0.0,,,,,24.7,11.9,0.0,32544.62
2025-12-10,morning,6,22.0,0.0,,,,,24.6,11.1,0.0,32452.48
2025-12-10,midday,12,21.5,0.0,,,,,24.6,11.1,0.0,32452.48
2025-12-10,evening,18,15.8,0.0,,,,,24.6,11.1,0.0,32452.48
2025-12-11,morning,6,21.6,0.0,,,,,24.2,11.8,0.0,32400.0
2025-12-11,midday,12,21.5,0.0,,,,,24.2,11.8,0.0,32400.0
2025-12-11,evening,18,15.5,0.0,,,,,24.2,11.8,0.0,32400.0
2025-12-12,morning,6,21.9,0.0,,,,,24.4,10.9,0.0,32287.68
2025-12-12,midday,12,21.1,0.0,,,,,24.4,10.9,0.0,32287.68
2025-12-12,evening,18,15.8,0.0,,,,,24.4,10.9,0.0,32287.68
2025-12-13,morning,6,22.2,0.0,,,,,24.5,11.9,0.0,32400.0
2025-12-13,midday,12,21.1,0.0,,,,,24.5,11.9,0.0,32400.0
2025-12-13,evening,18,16.0,0.0,,,,,24.5,11.9,0.0,32400.0
2025-12-14,morning,6,22.5,0.0,,,,,24.8,11.8,0.0,32400.0
2025-12-14,midday,12,21.0,0.0,,,,,24.8,11.8,0.0,32400.0
2025-12-14,evening,18,16.0,0.0,,,,,24.8,11.8,0.0,32400.0
2025-12-15,morning,6,22.2,0.0,,,,,24.0,11.7,0.0,32400.0
2025-12-15,midday,12,21.2,0.0,,,,,24.0,11.7,0.0,32400.0
2025-12-15,evening,18,15.5,0.0,,,,,24.0,11.7,0.0,32400.0
2025-12-16,morning,6,21.1,0.0,,,,,23.5,11.9,0.0,32454.51
2025-12-16,midday,12,20.4,0.0,,,,,23.5,11.9,0.0,32454.51
2025-12-16,evening,18,14.6,0.0,,,,,23.5,11.9,0.0,32454.51
2025-12-17,morning,6,20.0,0.0,,,,,22.0,11.6,0.0,32400.0
2025-12-17,midday,12,19.4,0.0,,,,,22.0,11.6,0.0,32400.0
2025-12-17,evening,18,14.4,0.0,,,,,22.0,11.6,0.0,32400.0
2025-12-18,morning,6,18.0,0.0,,,,,20.8,11.0,0.0,21682.39
2025-12-18,midday,12,18.1,0.0,,,,,20.8,11.0,0.0,21682.39
2025-12-18,evening,18,12.6,0.0,,,,,20.8,11.0,0.0,21682.39
2025-12-19,morning,6,15.5,0.0,,,,,19.1,9.1,0.0,21682.05
2025-12-19,midday,12,16.0,0.0,,,,,19.1,9.1,0.0,21682.05
2025-12-19,evening,18,10.0,0.0,,,,,19.1,9.1,0.0,21682.05
2025-12-20,morning,6,15.8,0.0,,,,,18.5,9.4,0.0,24517.38
2025-12-20,midday,12,16.3,0.0,,,,,18.5,9.4,0.0,24517.38
2025-12-20,evening,18,12.6,0.0,,,,,18.5,9.4,0.0,24517.38
2025-12-21,morning,6,15.2,0.0,,,,,17.9,9.4,0.0,18857.96
2025-12-21,midday,12,15.8,0.0,,,,,17.9,9.4,0.0,18857.96
2025-12-21,evening,18,12.1,0.0,,,,,17.9,9.4,0.0,18857.96
2025-12-22,morning,6,17.4,0.0,,,,,19.6,9.7,0.0,30141.55
2025-12-22,midday,12,17.3,0.0,,,,,19.6,9.7,0.0,30141.55
2025-12-22,evening,18,13.1,0.0,,,,,19.6,9.7,0.0,30141.55
2025-12-23,morning,6,17.8,0.0,,,,,20.7,10.2,0.0,30375.56
2025-12-23,midday,12,17.2,0.0,,,,,20.7,10.2,0.0,30375.56
2025-12-23,evening,18,13.9,0.0,,,,,20.7,10.2,0.0,30375.56
2025-12-24,morning,6,18.2,0.0,,,,,20.4,9.6,0.0,32527.18
2025-12-24,midday,12,17.2,0.0,,,,,20.4,9.6,0.0,32527.18
2025-12-24,evening,18,13.1,0.0,,,,,20.4,9.6,0.0,32527.18
2025-12-25,morning,6,17.8,0.0,,,,,20.1,9.2,0.0,26063.03
2025-12-25,midday,12,16.9,0.0,,,,,20.1,9.2,0.0,26063.03
2025-12-25,evening,18,12.2,0.0,,,,,20.1,9.2,0.0,26063.03
2025-12-26,morning,6,18.0,0.0,,,,,19.8,10.0,0.0,26843.52
2025-12-26,midday,12,17.1,0.0,,,,,19.8,10.0,0.0,26843.52
2025-12-26,evening,18,13.2,0.0,,,,,19.8,10.0,0.0,26843.52
2025-12-27,morning,6,18.1,0.0,,,,,19.1,9.9,0.0,27504.7
2025-12-27,midday,12,17.4,0.0,,,,,19.1,9.9,0.0,27504.7
2025-12-27,evening,18,12.3,0.0,,,,,19.1,9.9,0.0,27504.7
2025-12-28,morning,6,16.8,0.0,,,,,18.7,11.2,0.0,18863.05
2025-12-28,midday,12,16.4,0.0,,,,,18.7,11.2,0.0,18863.05
2025-12-28,evening,18,13.1,0.0,,,,,18.7,11.2,0.0,18863.05
2025-12-29,morning,6,14.9,0.0,,,,,17.5,8.6,0.0,25158.94
2025-12-29,midday,12,14.6,0.0,,,,,17.5,8.6,0.0,25158.94
2025-12-29,evening,18,10.2,0.0,,,,,17.5,8.6,0.0,25158.94
2025-12-30,morning,6,14.4,0.0,,,,,18.0,8.4,0.0,22797.45
2025-12-30,midday,12,14.9,0.0,,,,,18.0,8.4,0.0,22797.45
2025-12-30,evening,18,10.8,0.0,,,,,18.0,8.4,0.0,22797.45
2025-12-31,morning,6,14.2,0.0,,,,,17.6,8.4,0.0,23235.24
2025-12-31,midday,12,14.7,0.0,,,,,17.6,8.4,0.0,23235.24
2025-12-31,evening,18,11.3,0.0,,,,,17.6,8.4,0.0,23235.24
2026-01-01,morning,6,16.6,0.0,,,,,20.1,7.9,0.0,27217.34
2026-01-01,midday,12,17.2,0.0,,,,,20.1,7.9,0.0,27217.34
